,true,pred
0,17.84,17.141125195977136
1,12.07,13.88303555419041
2,36.2,36.88654746759431
3,14.86,16.427032950460966
4,15.03,14.293552833115287
5,18.57,19.19073227674143
6,29.57,31.00052876971423
7,46.71,42.935547018649885
8,22.12,22.02694587145144
9,12.41,11.569067713630652
10,16.85,19.058051764676087
11,68.14,67.76834330304715
12,48.98,45.8706856823025
13,12.79,12.066665033741517
14,34.4,35.23283693898814
15,14.88,17.00095504969358
16,20.28,20.549940300492818
17,29.06,30.53652829667527
18,34.12,28.96337702501531
19,55.17,57.02458338985016
20,17.79,17.391744577627122
21,41.73,36.36773273956207
22,19.75,19.165897501525517
23,28.47,29.76629073528661
24,26.68,29.79685644747817
25,35.2,37.75451355720263
26,46.29,50.32204045447846
27,58.84,57.25919916283393
28,40.91,35.559194867345695
29,52.73,51.13876463758891
30,29.6,30.04614476824895
31,20.88,23.25858040736206
32,64.31,61.12885955680422
33,33.83,33.42262499187826
34,36.59,39.482476839140915
35,18.0,20.152937439533442
36,27.01,28.092515051247446
37,55.07,57.68304818777889
38,28.77,31.937950978310596
39,18.08,17.822355681998694
40,21.93,21.915097211076656
41,56.21,55.34980430848573
42,53.23,57.2586272654266
43,53.27,50.199095264043194
44,36.44,37.12440865608411
45,35.7,38.79933659261165
46,37.41,37.81910761638404
47,59.57,57.245548016610144
48,18.56,11.46129493502949
49,46.6,34.88008621435549
50,42.9,38.07646500156606
51,37.41,42.14559604127675
52,70.63,57.56599546903668
53,20.66,20.282879932925532
54,41.12,42.773628916605624
55,22.11,15.289682506533143
56,30.51,31.338852835865822
57,17.0,15.940146604179766
58,55.05,57.006318281227735
59,54.67,51.05426108035878
60,27.19,27.478475320703136
61,18.47,17.58098463180948
62,24.12,19.2773817428975
63,25.29,25.225690725546766
64,21.35,21.03309662711577
65,15.64,14.74877102195825
66,34.24,36.00226130778264
67,46.1,46.91913288722722
68,19.52,19.18749825757568
69,29.37,29.79469492033138
70,29.29,29.842612575741796
71,37.09,38.35141562515377
72,27.12,28.70809259051095
73,27.32,26.647354432339334
74,18.88,18.09204068531099
75,29.91,30.08561460523847
76,81.32,75.03088134889401
77,43.52,43.331261093186086
78,52.66,49.29011859005959
79,26.55,26.391128162417687
80,18.28,17.622809139343467
81,18.35,18.03540230761257
82,22.73,21.6413844777799
83,19.44,18.34597384659616
84,64.52,61.80474172341438
85,44.13,44.00233229044532
86,22.91,22.511550505436436
87,21.31,21.472038303425407
88,40.29,35.37609390472689
89,20.09,19.632457184846906
90,22.51,22.232072287817186
91,18.72,18.69342513417109
92,23.37,23.20183911818766
93,25.42,25.916624193953595
94,45.85,48.08571871303193
95,23.87,23.1152521388276
96,24.66,18.201745092212402
97,28.29,28.577539788810093
98,24.35,23.709077858775807
99,27.26,26.809679958406964
100,24.35,23.176494007472407
101,22.52,22.28792448748258
102,35.4,37.087691172774704
103,33.52,34.919576263684995
104,20.69,19.782679114297675
105,56.71,54.3674340174513
106,45.57,41.19986733663689
107,37.88,39.114053108062535
108,18.36,17.97230176891579
109,14.8,14.23404944937305
110,44.99,44.939657464898836
111,20.1,20.180341165919508
112,62.2,59.67443406332646
113,19.3,18.72383225031182
114,16.18,17.462001015331563
115,17.33,16.93437919664422
116,52.38,48.999591994169016
117,43.82,46.155802396873696
118,12.63,11.560050936468988
119,17.97,17.510770274237576
120,48.86,51.46368179137012
121,28.53,29.25564210580846
122,45.94,42.72840793030046
123,61.41,53.834415727563396
124,34.12,34.68590526478509
125,27.24,27.414395460575662
126,12.63,11.870950139006506
127,29.24,30.70691994848758
128,11.66,10.60581872883339
129,66.68,65.92061115148596
130,45.31,41.88885943585575
131,42.16,37.99931269484329
132,40.29,42.97981348998347
133,65.44,64.31266649203113
134,50.88,55.17069946717112
135,17.97,17.38911406454898
136,15.55,15.316675870229275
137,17.53,16.875413162962477
138,31.33,33.034129303145725
139,19.41,18.984051702871085
140,15.48,14.960855599814849
141,40.48,42.208051724317926
142,16.88,16.464854534469602
143,36.39,38.234731919533495
144,16.03,15.388731624179734
145,71.2,70.50587752379704
146,14.99,14.465275545806795
147,24.22,25.09981731170714
148,17.64,16.84365771226912
149,16.54,15.739186301509335
150,18.12,17.6375403103719
151,54.13,58.81313374956644
152,20.66,20.937119993917527
153,48.02,52.71973393758556
154,21.05,19.925259615700547
155,15.14,14.613673352552428
156,40.49,42.945178698239445
157,48.03,44.65550352864946
158,11.05,11.305407494065642
159,30.34,33.144202723169066
160,11.95,11.260393255600475
161,21.17,21.46059683613757
162,63.61,60.20426262228318
163,20.42,19.466900578280097
164,35.19,36.8772307720044
165,57.5,61.230661028130925
166,13.07,12.025089354180055
167,13.47,12.81282018116499
168,49.71,47.54493494639214
169,35.88,37.52201208446452
170,23.92,24.159595522529536
171,14.51,13.649765177092709
172,31.89,32.76899596975956
173,46.61,39.3068270998389
174,39.93,39.65524723739227
175,29.21,29.21466239954891
176,25.39,24.762300560816577
177,29.24,30.141894441267223
178,36.06,37.721717223170586
179,39.88,35.073205143359196
180,22.51,22.602447859535793
181,74.48,71.89355809672236
182,24.8,26.417076779220547
183,43.77,45.88194834119951
184,18.79,18.359860216350153
185,21.66,21.42088956751581
186,35.75,40.7871914692318
187,41.76,46.073349922528664
188,60.79,64.74775630808054
189,48.78,45.77597854807547
190,11.69,10.724712843954151
191,14.58,14.016399332812789
192,11.95,10.98734265163274
193,25.12,25.492765428120908
194,12.95,12.255118909890854
195,72.74,59.166205529855354
196,34.67,34.97049730885008
