,true,pred
0,17.84,18.24
1,12.07,13.57
2,36.2,35.67833333333333
3,14.86,14.7925
4,15.03,15.03
5,18.57,18.65
6,29.57,29.79
7,46.71,41.16
8,22.12,22.17
9,12.41,12.437142857142858
10,16.85,16.81
11,68.14,68.31
12,48.98,48.48
13,12.79,16.16
14,34.4,37.87
15,14.88,17.625
16,20.28,26.39
17,29.06,29.12
18,34.12,27.98
19,55.17,60.52
20,17.79,16.810799999999993
21,41.73,41.75
22,19.75,19.75
23,28.47,30.85
24,26.68,28.95
25,35.2,41.125
26,46.29,55.25
27,58.84,58.43
28,40.91,34.79
29,52.73,50.65
30,29.6,29.39
31,20.88,23.75333333333333
32,64.31,64.53
33,33.83,40.01
34,36.59,41.56
35,18.0,17.96
36,27.01,26.97
37,55.07,58.5
38,28.77,31.243333333333336
39,18.08,17.86
40,21.93,21.75
41,56.21,58.26
42,53.23,53.36
43,53.27,47.39
44,36.44,35.67833333333333
45,35.7,38.5
46,37.41,37.47
47,59.57,59.74
48,18.56,12.437142857142858
49,46.6,34.26
50,42.9,37.38
51,37.41,49.58
52,70.63,52.57
53,20.66,20.65
54,41.12,47.13
55,22.11,13.22
56,30.51,27.74
57,17.0,16.98
58,55.05,54.94
59,54.67,54.25
60,27.19,27.23
61,18.47,16.2
62,24.12,20.1
63,25.29,22.575
64,21.35,21.32
65,15.64,15.64
66,34.24,34.8
67,46.1,52.31
68,19.52,16.85
69,29.37,29.39
70,29.29,35.44
71,37.09,36.54
72,27.12,26.05
73,27.32,39.4
74,18.88,18.92
75,29.91,29.84
76,81.32,74.95
77,43.52,43.63
78,52.66,46.59
79,26.55,26.53
80,18.28,17.469
81,18.35,17.469
82,22.73,22.53
83,19.44,19.48
84,64.52,60.77
85,44.13,44.3
86,22.91,20.18
87,21.31,21.32
88,40.29,34.46
89,20.09,20.1
90,22.51,28.64
91,18.72,18.66
92,23.37,23.55
93,25.42,25.455
94,45.85,51.29
95,23.87,23.82
96,24.66,21.92
97,28.29,28.25
98,24.35,24.34
99,27.26,27.23
100,24.35,24.35
101,22.52,28.64
102,35.4,35.56
103,33.52,40.04
104,20.69,20.75
105,56.71,50.36
106,45.57,39.61
107,37.88,45.66
108,18.36,15.64
109,14.8,14.81
110,44.99,42.17
111,20.1,23.42
112,62.2,56.11
113,19.3,19.26
114,16.18,16.28
115,17.33,17.17
116,52.38,52.26
117,43.82,50.06
118,12.63,12.54
119,17.97,17.86
120,48.86,54.25
121,28.53,28.72
122,45.94,39.18
123,61.41,55.63
124,34.12,34.11
125,27.24,27.23
126,12.63,12.63
127,29.24,39.8
128,11.66,9.61
129,66.68,66.46
130,45.31,42.56
131,42.16,36.084999999999994
132,40.29,44.85
133,65.44,65.46
134,50.88,48.38
135,17.97,17.86
136,15.55,22.54
137,17.53,14.83
138,31.33,37.14
139,19.41,19.49
140,15.48,15.42
141,40.48,47.14
142,16.88,16.83
143,36.39,39.27
144,16.03,15.976666666666667
145,71.2,67.67
146,14.99,14.98
147,24.22,21.46
148,17.64,17.625
149,16.54,16.5775
150,18.12,17.86
151,54.13,60.33
152,20.66,20.65
