,true,pred
12899,41.19,41.19
12900,27.68,27.723999999999993
12901,36.0,35.95249999999999
12902,26.88,26.880000000000088
12903,41.56,41.13
12904,31.87,38.02
12905,22.37,22.37
12906,31.06,31.06
12907,41.32,40.92
12908,22.2,22.199999999999992
12909,23.98,23.979999999999887
12910,31.28,31.279999999999994
12911,49.15,54.97
12912,48.54,48.54
12913,57.3,57.29999999999998
12914,39.67,39.670000000000044
12915,34.04,34.039999999999985
12916,44.1,46.7
12917,30.36,30.360000000000007
12918,78.5,86.0
12919,48.11,48.11000000000001
12920,58.04,58.04
12921,33.44,33.44000000000003
12922,27.37,27.369999999999997
12923,50.45,54.29
12924,81.0,83.5
12925,28.01,28.51
12926,61.43,63.68
12927,29.0,29.0
12928,30.32,30.32
12929,39.2,39.199999999999996
12930,30.32,30.31999999999999
12931,36.26,36.26
12932,58.24,58.04
12933,62.7,62.699999999999925
12934,29.21,29.210000000000004
12935,49.2,48.89
12936,21.63,21.63
12937,61.3,63.86
12938,46.5,47.385000000000005
12939,42.73,42.73
12940,61.43,61.527999999999984
12941,55.37,55.15
12942,34.04,34.040165289256166
12943,26.36,26.36000000000008
12944,44.16,44.16
12945,46.84,46.839999999999996
12946,19.78,19.78
12947,38.54,38.77375
12948,49.15,54.97
12949,38.97,38.97000000000002
12950,57.3,57.3
12951,37.42,37.419999999999995
12952,29.0,29.0
12953,55.46,50.12
12954,22.29,22.28999999999998
12955,34.95,34.95
12956,34.14,34.14
12957,38.97,38.97
12958,28.45,28.435882352941174
12959,45.24,45.24
12960,21.31,21.31
12961,43.77,43.769999999999996
12962,57.43,53.49
12963,26.26,26.260000000000147
12964,30.75,30.75
12965,29.88,29.880000000000013
12966,29.0,29.0
12967,41.31,41.3190625
12968,54.6,60.93
12969,49.04,49.04
12970,26.26,26.260000000000147
12971,19.78,19.779999999999987
12972,34.85,34.850000000000016
12973,33.96,33.96
12974,29.0,29.0
12975,65.4,65.4
12976,47.45,51.74
12977,33.68,33.679999999999986
12978,41.28,41.29
12979,23.98,23.98000000000001
12980,27.67,27.91461538461538
12981,26.74,33.06
12982,30.59,36.73
12983,33.45,33.65
12984,37.67,37.67000000000002
12985,79.05,79.05
12986,34.14,34.11411764705882
12987,25.96,26.04133333333333
12988,31.79,31.78999999999998
12989,22.2,22.199999999999992
12990,22.87,22.87
12991,37.18,37.18
12992,32.07,32.06999999999999
12993,26.26,26.260000000000147
12994,28.97,28.97000000000002
12995,31.79,31.78999999999998
12996,76.0,67.56
12997,21.63,21.63
12998,22.2,22.199999999999957
12999,40.71,40.71
13000,23.11,23.11000000000001
13001,37.2,37.2
13002,23.85,23.849999999999966
13003,22.62,22.62
13004,27.67,27.66999999999999
13005,49.05,47.10666666666666
