,true,pred
0,32.5,32.5
1,46.86,44.04
2,32.5,32.5
3,28.64,28.63999999999999
4,58.05,58.05
5,39.5,39.5
6,42.9,42.9
7,43.05,43.11
8,54.74,60.0
9,26.36,26.36000000000001
10,41.23,41.23
11,27.11,27.110000000000007
12,31.31,31.30999999999996
13,44.81,44.809090909090905
14,32.5,32.5
15,25.41,25.409999999999993
16,29.88,29.880000000000013
17,25.5,25.5
18,27.04,27.040000000000003
19,37.07,37.070000000000014
20,43.8,43.8
21,18.94,18.94
22,28.64,28.63999999999999
23,29.0,29.0
24,49.05,49.050000000000004
25,26.26,26.260000000000137
26,32.07,32.07
27,34.36,34.36000000000001
28,31.06,31.06
29,22.2,22.20000000000002
30,23.98,23.9799999999998
31,23.98,23.9799999999998
32,29.32,29.320000000000064
33,36.0,36.0
34,34.95,34.96395348837212
35,34.09,33.58
36,35.04,35.046363636363616
37,34.82,34.82000000000002
38,36.0,36.0
39,47.69,47.69000000000002
40,57.3,57.30000000000003
41,53.51,53.51
42,33.44,33.44000000000004
43,32.11,32.11
44,36.0,36.0
45,42.3,42.5
46,27.84,27.91
47,24.42,24.420000000000005
48,31.27,37.42
49,36.0,36.053999999999995
50,31.08,31.07999999999996
51,34.09,34.09000000000005
52,24.42,24.42230769230772
53,26.81,26.89
54,41.29,41.29
55,30.32,30.32
56,22.11,22.110000000000003
57,57.3,57.30000000000003
58,31.31,31.309999999999995
59,19.78,19.779999999999994
60,32.61,32.60999999999999
61,48.44,45.96
62,31.48,31.48000000000001
63,14.83,23.7
64,42.58,42.58
65,29.21,29.21000000000003
66,48.17,48.17000000000003
67,30.47,30.470000000000017
68,32.5,32.5
69,39.5,39.5
70,54.59,54.590000000000025
71,29.88,29.880000000000013
72,31.27,31.26999999999999
73,70.8,67.09
74,39.54,41.84
75,23.98,23.980000000000004
76,19.78,19.780000000000005
77,27.68,27.67
78,29.0,29.0
79,51.9,51.900000000000034
80,22.61,22.745000000000005
81,21.64,21.635238095238094
82,23.98,23.980000000000004
83,29.0,29.0
84,43.0,43.0
85,25.5,25.5
86,20.64,20.6425
87,26.93,26.930000000000003
88,53.49,53.49
89,52.4,52.4
90,26.88,26.88881188118814
91,24.31,24.305107296137397
92,46.5,46.5
93,32.5,32.5
94,50.21,50.23666666666666
95,34.09,34.09000000000005
96,25.5,25.5
97,48.21,48.21
98,23.98,23.980000000000008
99,39.52,33.4
100,26.36,26.360000000000007
101,25.5,25.5
102,27.72,27.720000000000017
103,27.64,27.64
104,32.61,32.61
105,38.02,37.97
106,63.86,70.8
107,26.88,26.880000000000088
108,35.74,35.57
109,21.63,21.633137254901964
110,54.34,48.41
111,27.91,27.90999999999999
112,22.61,22.61
113,39.5,39.5
114,27.91,27.945714285714285
115,46.27,46.26999999999999
116,24.33,24.305107296137397
117,27.91,27.945714285714285
118,32.5,32.5
119,26.93,26.91
120,30.11,30.11
121,57.67,57.676
122,52.69,52.68
123,49.2,49.20026666666655
124,26.26,26.259999999999994
125,28.64,28.639999999999997
126,37.67,37.669107142857165
127,30.26,30.259999999999994
128,19.78,19.780000000000005
129,33.65,33.649999999999984
130,24.42,24.42230769230772
131,23.58,23.57
132,25.84,25.840000000000064
133,37.67,37.669107142857165
134,27.86,27.859999999999964
135,29.45,29.45000000000002
136,35.88,35.88
137,59.01,59.52
138,24.5,24.5
139,25.39,25.389999999999993
140,33.44,33.44000000000004
141,38.46,38.46
142,26.26,26.259999999999994
143,30.14,30.139999999999993
144,30.16,30.16
145,30.48,30.48
146,91.0,91.0
147,26.26,26.260000000000137
148,62.69,62.69
149,32.5,32.5
150,34.09,34.09000000000002
151,21.63,21.780799999999996
152,22.29,22.28999999999998
153,52.4,52.40000000000005
154,34.86,34.863333333333294
155,34.85,34.84999999999998
156,34.14,34.140000000000015
157,26.36,26.360000000000127
158,22.37,22.39
159,24.66,24.65999999999999
160,34.07,27.689999999999998
161,27.02,27.02
162,24.31,24.305107296137397
163,29.0,29.0
164,25.34,29.1
165,25.96,26.36
